index	tokens	token	true_label	predicted_label
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	Even	B-focus	O
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	at	I-focus	O
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	the	I-focus	O
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	draft	I-focus	O
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	stage	I-focus	O
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	,	I-focus	O
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	Capitol	O	B-focus
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	Hill	O	I-focus
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	,	O	I-focus
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	Washington	O	I-focus
1673	"['Where', 'did', 'Singer', 'hold', 'a', 'press', 'conference', 'in', 'May', '2000', '?', 'Even', 'at', 'the', 'draft', 'stage', ',', 'this', 'finding', 'was', 'disputed', 'by', 'contrarians', ':', 'in', 'May', '2000', 'Fred', 'Singer', ""'s"", 'Science', 'and', 'Environmental', 'Policy', 'Project', 'held', 'a', 'press', 'event', 'on', 'Capitol', 'Hill', ',', 'Washington', ',', 'D']"	,	O	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	because	O	B-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	it	O	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	has	O	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	survived	B-focus	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	throughout	O	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	its	O	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	long	O	I-focus
1675	"['Why', 'did', 'Warsaw', 'gain', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", '?', 'Warsaw', 'gained', 'the', 'title', 'of', 'the', '``', 'Phoenix', 'City', ""''"", 'because', 'it', 'has', 'survived', 'many', 'wars', ',', 'conflicts', 'and', 'invasions', 'throughout', 'its', 'long', 'history']"	history	O	I-focus
1677	['How', 'many', 'areas', 'were', 'impacted', 'by', 'the', 'the', 'death', 'of', 'vegetation', 'in', 'the', '2010', 'drought', '?', 'The', '2010', 'drought', 'had', 'three', 'epicenters', 'where', 'vegetation', 'died', 'off', ',', 'whereas', 'in', '2005', 'the', 'drought', 'was', 'focused', 'on', 'the', 'southwestern', 'part']	epicenters	I-focus	O
1678	['How', 'many', 'total', 'acres', 'is', 'Woodward', 'Park', '?', '95', 'km2', ')', ',', 'combined', 'with', 'additional', 'acres', 'acquired', 'later', 'by', 'the', 'City', ',', 'brings', 'the', 'park', 'to', 'a', 'sizable', '300', 'acres', '(', '1']	acres	I-focus	O
1680	['What', 'group', 'initiated', 'the', 'community', 'dialogues', '?', 'For', 'example', ',', 'the', 'Truth', ',', 'Justice', 'and', 'Reconciliation', 'Commission', 'initiated', 'community', 'dialogues', ',', 'the', 'Evangelical', 'Lutheran', 'Church', 'in', 'Kenya', 'started', 'peace', 'meetings', 'and', 'the', 'Kenya', 'National', 'Dialogue', 'and', 'Reconciliation', 'process', 'was', 'started']	the	O	B-focus
1680	['What', 'group', 'initiated', 'the', 'community', 'dialogues', '?', 'For', 'example', ',', 'the', 'Truth', ',', 'Justice', 'and', 'Reconciliation', 'Commission', 'initiated', 'community', 'dialogues', ',', 'the', 'Evangelical', 'Lutheran', 'Church', 'in', 'Kenya', 'started', 'peace', 'meetings', 'and', 'the', 'Kenya', 'National', 'Dialogue', 'and', 'Reconciliation', 'process', 'was', 'started']	Truth	B-focus	I-focus
1681	['Where', 'is', 'Kenya', 'place', 'on', 'the', 'scale', 'in', '2012', '?', 'In', '2012', ',', 'the', 'nation', 'placed', '139th', 'out', 'of', '176', 'total', 'countries', 'in', 'the', 'CPI', ',', 'with', 'a', 'score', 'of', '27/100']	out	I-focus	O
1681	['Where', 'is', 'Kenya', 'place', 'on', 'the', 'scale', 'in', '2012', '?', 'In', '2012', ',', 'the', 'nation', 'placed', '139th', 'out', 'of', '176', 'total', 'countries', 'in', 'the', 'CPI', ',', 'with', 'a', 'score', 'of', '27/100']	of	I-focus	O
1681	['Where', 'is', 'Kenya', 'place', 'on', 'the', 'scale', 'in', '2012', '?', 'In', '2012', ',', 'the', 'nation', 'placed', '139th', 'out', 'of', '176', 'total', 'countries', 'in', 'the', 'CPI', ',', 'with', 'a', 'score', 'of', '27/100']	176	I-focus	O
1681	['Where', 'is', 'Kenya', 'place', 'on', 'the', 'scale', 'in', '2012', '?', 'In', '2012', ',', 'the', 'nation', 'placed', '139th', 'out', 'of', '176', 'total', 'countries', 'in', 'the', 'CPI', ',', 'with', 'a', 'score', 'of', '27/100']	total	I-focus	O
1681	['Where', 'is', 'Kenya', 'place', 'on', 'the', 'scale', 'in', '2012', '?', 'In', '2012', ',', 'the', 'nation', 'placed', '139th', 'out', 'of', '176', 'total', 'countries', 'in', 'the', 'CPI', ',', 'with', 'a', 'score', 'of', '27/100']	countries	I-focus	O
1683	['Who', 'has', 'expressed', 'distaste', 'for', 'the', 'canonicity', 'of', 'Doctor', 'Who', 'stories', 'by', 'other', 'media', '?', 'In', 'this', 'respect', 'it', 'is', 'noteworthy', 'that', 'the', 'BBC', 'takes', 'no', 'position', 'on', 'the', 'canonicity', 'of', 'any', 'of', 'such', 'stories', ',', 'and', 'producers', 'of', 'the', 'show', 'have', 'expressed', 'distaste', 'for', 'the', 'idea']	of	I-focus	O
1683	['Who', 'has', 'expressed', 'distaste', 'for', 'the', 'canonicity', 'of', 'Doctor', 'Who', 'stories', 'by', 'other', 'media', '?', 'In', 'this', 'respect', 'it', 'is', 'noteworthy', 'that', 'the', 'BBC', 'takes', 'no', 'position', 'on', 'the', 'canonicity', 'of', 'any', 'of', 'such', 'stories', ',', 'and', 'producers', 'of', 'the', 'show', 'have', 'expressed', 'distaste', 'for', 'the', 'idea']	the	I-focus	O
1683	['Who', 'has', 'expressed', 'distaste', 'for', 'the', 'canonicity', 'of', 'Doctor', 'Who', 'stories', 'by', 'other', 'media', '?', 'In', 'this', 'respect', 'it', 'is', 'noteworthy', 'that', 'the', 'BBC', 'takes', 'no', 'position', 'on', 'the', 'canonicity', 'of', 'any', 'of', 'such', 'stories', ',', 'and', 'producers', 'of', 'the', 'show', 'have', 'expressed', 'distaste', 'for', 'the', 'idea']	show	I-focus	O
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	1937	O	B-focus
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	at	B-focus	O
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	a	I-focus	O
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	luncheon	I-focus	B-focus
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	in	I-focus	O
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	his	I-focus	O
1686	"['What', 'was', 'the', 'occasion', 'when', 'he', 'claimed', 'he', ""'d"", 'made', 'the', 'death', 'ray', '?', 'In', '1937', ',', 'at', 'a', 'luncheon', 'in', 'his', 'honor', 'concerning', 'the', 'death', 'ray', ',', 'Tesla', 'stated', ',', '``', 'But', 'it', 'is', 'not', 'an', 'experiment']"	honor	I-focus	O
1690	['What', 'areas', 'did', 'Genghis', 'Khan', 'control', 'at', 'the', 'end', 'of', 'his', 'life', '?', 'By', 'the', 'end', 'of', 'his', 'life', ',', 'the', 'Mongol', 'Empire', 'occupied', 'a', 'substantial', 'portion', 'of', 'Central', 'Asia', 'and', 'China']	a	B-focus	O
1690	['What', 'areas', 'did', 'Genghis', 'Khan', 'control', 'at', 'the', 'end', 'of', 'his', 'life', '?', 'By', 'the', 'end', 'of', 'his', 'life', ',', 'the', 'Mongol', 'Empire', 'occupied', 'a', 'substantial', 'portion', 'of', 'Central', 'Asia', 'and', 'China']	substantial	I-focus	O
1690	['What', 'areas', 'did', 'Genghis', 'Khan', 'control', 'at', 'the', 'end', 'of', 'his', 'life', '?', 'By', 'the', 'end', 'of', 'his', 'life', ',', 'the', 'Mongol', 'Empire', 'occupied', 'a', 'substantial', 'portion', 'of', 'Central', 'Asia', 'and', 'China']	portion	I-focus	O
1690	['What', 'areas', 'did', 'Genghis', 'Khan', 'control', 'at', 'the', 'end', 'of', 'his', 'life', '?', 'By', 'the', 'end', 'of', 'his', 'life', ',', 'the', 'Mongol', 'Empire', 'occupied', 'a', 'substantial', 'portion', 'of', 'Central', 'Asia', 'and', 'China']	of	I-focus	O
1690	['What', 'areas', 'did', 'Genghis', 'Khan', 'control', 'at', 'the', 'end', 'of', 'his', 'life', '?', 'By', 'the', 'end', 'of', 'his', 'life', ',', 'the', 'Mongol', 'Empire', 'occupied', 'a', 'substantial', 'portion', 'of', 'Central', 'Asia', 'and', 'China']	Central	I-focus	B-focus
1692	['By', 'the', 'late', '19th', 'century', ',', 'which', 'country', 'had', 'the', 'largest', 'empire', 'ever', 'to', 'exist', 'in', 'the', 'world', '?', 'The', 'British', 'Empire', 'was', 'the', 'largest', 'Empire', 'that', 'the', 'world', 'has', 'ever', 'seen', 'both', 'in', 'terms', 'of', 'landmass', 'and', 'population']	British	I-focus	B-focus
1697	"['Where', 'is', 'the', 'mouth', 'located', 'on', 'the', 'pleuobrachia', 'located', '?', 'Cydippid', 'ctenophores', 'have', 'bodies', 'that', 'are', 'more', 'or', 'less', 'rounded', ',', 'sometimes', 'nearly', 'spherical', 'and', 'other', 'times', 'more', 'cylindrical', 'or', 'egg-shaped', ';', 'the', 'common', 'coastal', '``', 'sea', 'gooseberry', ',', ""''"", 'Pleurobrachia', ',', 'sometimes', 'has', 'an', 'egg-shaped', 'body', 'with', 'the', 'mouth', 'at', 'the', 'narrow', 'end', ',', 'although', 'some', 'individuals', 'are', 'more', 'uniformly', 'round']"	at	B-focus	O
1699	['What', 'type', 'of', 'prime', 'distribution', 'is', 'characterized', 'about', 'x/log', 'x', 'of', 'numbers', 'less', 'than', 'x', '?', 'From', 'a', 'mathematical', 'viewpoint', ',', 'it', 'roughly', 'states', 'that', 'the', 'asymptotic', 'distribution', 'of', 'primes', '(', 'about', 'x/log', 'x', 'of', 'numbers', 'less', 'than', 'x', 'are', 'primes', ',', 'the', 'prime', 'number', 'theorem', ')', 'also', 'holds', 'for', 'much', 'shorter', 'intervals', 'of', 'length', 'about', 'the', 'square', 'root', 'of', 'x', '(', 'for', 'intervals', 'near', 'x', ')']	distribution	I-focus	O
1700	['What', 'ranking', 'does', 'the', 'Super', 'Bowl', '50', 'halftime', 'show', 'have', 'on', 'the', 'list', 'of', 'most', 'watched', 'TV', 'broadcasts', '?', 'It', 'was', 'the', 'third-most', 'watched', 'U']	third-most	O	B-focus
1701	['Who', 'has', 'loaned', 'the', 'Raphael', 'Cartoons', 'to', 'the', 'museum', '?', 'Also', 'on', 'loan', 'to', 'the', 'museum', ',', 'from', 'Her', 'Majesty', 'the', 'Queen', 'Elizabeth', 'II', ',', 'are', 'the', 'Raphael', 'Cartoons', ':', 'the', 'seven', 'surviving', '(', 'there', 'were', 'ten', ')', 'full', 'scale', 'designs', 'for', 'tapestries', 'in', 'the', 'Sistine', 'Chapel', ',', 'of', 'the', 'lives', 'of', 'Peter', 'and', 'Paul', 'from', 'the', 'Gospels', 'and', 'the', 'Acts', 'of', 'the', 'Apostles']	Her	O	B-focus
1701	['Who', 'has', 'loaned', 'the', 'Raphael', 'Cartoons', 'to', 'the', 'museum', '?', 'Also', 'on', 'loan', 'to', 'the', 'museum', ',', 'from', 'Her', 'Majesty', 'the', 'Queen', 'Elizabeth', 'II', ',', 'are', 'the', 'Raphael', 'Cartoons', ':', 'the', 'seven', 'surviving', '(', 'there', 'were', 'ten', ')', 'full', 'scale', 'designs', 'for', 'tapestries', 'in', 'the', 'Sistine', 'Chapel', ',', 'of', 'the', 'lives', 'of', 'Peter', 'and', 'Paul', 'from', 'the', 'Gospels', 'and', 'the', 'Acts', 'of', 'the', 'Apostles']	Majesty	O	I-focus
1701	['Who', 'has', 'loaned', 'the', 'Raphael', 'Cartoons', 'to', 'the', 'museum', '?', 'Also', 'on', 'loan', 'to', 'the', 'museum', ',', 'from', 'Her', 'Majesty', 'the', 'Queen', 'Elizabeth', 'II', ',', 'are', 'the', 'Raphael', 'Cartoons', ':', 'the', 'seven', 'surviving', '(', 'there', 'were', 'ten', ')', 'full', 'scale', 'designs', 'for', 'tapestries', 'in', 'the', 'Sistine', 'Chapel', ',', 'of', 'the', 'lives', 'of', 'Peter', 'and', 'Paul', 'from', 'the', 'Gospels', 'and', 'the', 'Acts', 'of', 'the', 'Apostles']	the	O	I-focus
1701	['Who', 'has', 'loaned', 'the', 'Raphael', 'Cartoons', 'to', 'the', 'museum', '?', 'Also', 'on', 'loan', 'to', 'the', 'museum', ',', 'from', 'Her', 'Majesty', 'the', 'Queen', 'Elizabeth', 'II', ',', 'are', 'the', 'Raphael', 'Cartoons', ':', 'the', 'seven', 'surviving', '(', 'there', 'were', 'ten', ')', 'full', 'scale', 'designs', 'for', 'tapestries', 'in', 'the', 'Sistine', 'Chapel', ',', 'of', 'the', 'lives', 'of', 'Peter', 'and', 'Paul', 'from', 'the', 'Gospels', 'and', 'the', 'Acts', 'of', 'the', 'Apostles']	Queen	B-focus	I-focus
1704	['What', 'is', 'the', 'seating', 'arrangement', 'of', 'the', 'debating', 'chamber', '?', 'The', 'debating', 'chamber', 'of', 'the', 'Scottish', 'Parliament', 'has', 'seating', 'arranged', 'in', 'a', 'hemicycle', ',', 'which', 'reflects', 'the', 'desire', 'to', 'encourage', 'consensus', 'amongst', 'elected', 'members']	hemicycle	B-focus	I-focus
1707	['Which', 'is', 'older', 'the', 'British', 'Empire', 'or', 'the', 'Ethiopian', 'Empire', '?', 'Sub-Saharan', 'Africa', 'has', 'also', 'featured', 'dozens', 'of', 'empires', 'that', 'predate', 'the', 'European', 'colonial', 'era', ',', 'for', 'example', 'the', 'Ethiopian', 'Empire', ',', 'Oyo', 'Empire', ',', 'Asante', 'Union', ',', 'Luba', 'Empire', ',', 'Lunda', 'Empire', ',', 'and', 'Mutapa', 'Empire']	Empire	I-focus	O
1708	['When', 'was', 'the', 'Holocene', '?', 'At', 'the', 'begin', 'of', 'the', 'Holocene', '(', '~11,700', 'years', 'ago', ')', ',', 'the', 'Rhine', 'occupied', 'its', 'Late-Glacial', 'valley']	~11,700	O	B-focus
1708	['When', 'was', 'the', 'Holocene', '?', 'At', 'the', 'begin', 'of', 'the', 'Holocene', '(', '~11,700', 'years', 'ago', ')', ',', 'the', 'Rhine', 'occupied', 'its', 'Late-Glacial', 'valley']	years	B-focus	I-focus
1709	['How', 'many', 'picks', 'did', 'Aqib', 'Talib', 'have', '?', 'Pro', 'Bowl', 'linebacker', 'Von', 'Miller', 'led', 'the', 'team', 'with', '11', 'sacks', ',', 'forced', 'four', 'fumbles', ',', 'and', 'recovered', 'three']	three	B-focus	O
1711	"['Approximately', 'how', 'many', 'drawings', 'of', 'the', 'Italian', 'architect', 'Andrea', 'Palladio', 'is', 'in', 'the', 'RIBA', 'collection', '?', 'The', 'RIBA', ""'s"", 'holdings', 'of', 'over', '330', 'drawings', 'by', 'Andrea', 'Palladio', 'are', 'the', 'largest', 'in', 'the', 'world', ',', 'other', 'Europeans', 'well', 'represented', 'are', 'Jacques', 'Gentilhatre', 'and', 'Antonio', 'Visentini']"	330	I-focus	B-focus
1712	['Juvenile', 'platyctenids', 'act', 'like', 'what', '?', 'In', 'some', 'groups', ',', 'such', 'as', 'the', 'flat', ',', 'bottom-dwelling', 'platyctenids', ',', 'the', 'juveniles', 'behave', 'more', 'like', 'true', 'larvae', ',', 'as', 'they', 'live', 'among', 'the', 'plankton', 'and', 'thus', 'occupy', 'a', 'different', 'ecological', 'niche', 'from', 'their', 'parents', 'and', 'attain', 'the', 'adult', 'form', 'by', 'a', 'more', 'radical', 'metamorphosis', ',', 'after', 'dropping', 'to', 'the', 'sea-floor']	more	B-focus	O
1712	['Juvenile', 'platyctenids', 'act', 'like', 'what', '?', 'In', 'some', 'groups', ',', 'such', 'as', 'the', 'flat', ',', 'bottom-dwelling', 'platyctenids', ',', 'the', 'juveniles', 'behave', 'more', 'like', 'true', 'larvae', ',', 'as', 'they', 'live', 'among', 'the', 'plankton', 'and', 'thus', 'occupy', 'a', 'different', 'ecological', 'niche', 'from', 'their', 'parents', 'and', 'attain', 'the', 'adult', 'form', 'by', 'a', 'more', 'radical', 'metamorphosis', ',', 'after', 'dropping', 'to', 'the', 'sea-floor']	like	I-focus	O
1712	['Juvenile', 'platyctenids', 'act', 'like', 'what', '?', 'In', 'some', 'groups', ',', 'such', 'as', 'the', 'flat', ',', 'bottom-dwelling', 'platyctenids', ',', 'the', 'juveniles', 'behave', 'more', 'like', 'true', 'larvae', ',', 'as', 'they', 'live', 'among', 'the', 'plankton', 'and', 'thus', 'occupy', 'a', 'different', 'ecological', 'niche', 'from', 'their', 'parents', 'and', 'attain', 'the', 'adult', 'form', 'by', 'a', 'more', 'radical', 'metamorphosis', ',', 'after', 'dropping', 'to', 'the', 'sea-floor']	true	I-focus	B-focus
1713	['What', 'did', 'Germanic', 'tribes', 'establish', 'with', 'help', 'from', 'the', 'Rhine', '?', 'Germanic', 'tribes', 'crossed', 'the', 'Rhine', 'in', 'the', 'Migration', 'period', ',', 'by', 'the', '5th', 'century', 'establishing', 'the', 'kingdoms', 'of', 'Francia', 'on', 'the', 'Lower', 'Rhine', ',', 'Burgundy', 'on', 'the', 'Upper', 'Rhine', 'and', 'Alemannia', 'on', 'the', 'High', 'Rhine']	the	O	B-focus
1713	['What', 'did', 'Germanic', 'tribes', 'establish', 'with', 'help', 'from', 'the', 'Rhine', '?', 'Germanic', 'tribes', 'crossed', 'the', 'Rhine', 'in', 'the', 'Migration', 'period', ',', 'by', 'the', '5th', 'century', 'establishing', 'the', 'kingdoms', 'of', 'Francia', 'on', 'the', 'Lower', 'Rhine', ',', 'Burgundy', 'on', 'the', 'Upper', 'Rhine', 'and', 'Alemannia', 'on', 'the', 'High', 'Rhine']	kingdoms	B-focus	I-focus
1713	['What', 'did', 'Germanic', 'tribes', 'establish', 'with', 'help', 'from', 'the', 'Rhine', '?', 'Germanic', 'tribes', 'crossed', 'the', 'Rhine', 'in', 'the', 'Migration', 'period', ',', 'by', 'the', '5th', 'century', 'establishing', 'the', 'kingdoms', 'of', 'Francia', 'on', 'the', 'Lower', 'Rhine', ',', 'Burgundy', 'on', 'the', 'Upper', 'Rhine', 'and', 'Alemannia', 'on', 'the', 'High', 'Rhine']	of	O	I-focus
1713	['What', 'did', 'Germanic', 'tribes', 'establish', 'with', 'help', 'from', 'the', 'Rhine', '?', 'Germanic', 'tribes', 'crossed', 'the', 'Rhine', 'in', 'the', 'Migration', 'period', ',', 'by', 'the', '5th', 'century', 'establishing', 'the', 'kingdoms', 'of', 'Francia', 'on', 'the', 'Lower', 'Rhine', ',', 'Burgundy', 'on', 'the', 'Upper', 'Rhine', 'and', 'Alemannia', 'on', 'the', 'High', 'Rhine']	Francia	O	I-focus
1713	['What', 'did', 'Germanic', 'tribes', 'establish', 'with', 'help', 'from', 'the', 'Rhine', '?', 'Germanic', 'tribes', 'crossed', 'the', 'Rhine', 'in', 'the', 'Migration', 'period', ',', 'by', 'the', '5th', 'century', 'establishing', 'the', 'kingdoms', 'of', 'Francia', 'on', 'the', 'Lower', 'Rhine', ',', 'Burgundy', 'on', 'the', 'Upper', 'Rhine', 'and', 'Alemannia', 'on', 'the', 'High', 'Rhine']	Lower	O	I-focus
1713	['What', 'did', 'Germanic', 'tribes', 'establish', 'with', 'help', 'from', 'the', 'Rhine', '?', 'Germanic', 'tribes', 'crossed', 'the', 'Rhine', 'in', 'the', 'Migration', 'period', ',', 'by', 'the', '5th', 'century', 'establishing', 'the', 'kingdoms', 'of', 'Francia', 'on', 'the', 'Lower', 'Rhine', ',', 'Burgundy', 'on', 'the', 'Upper', 'Rhine', 'and', 'Alemannia', 'on', 'the', 'High', 'Rhine']	Rhine	O	I-focus
